Timestamp;LevelAsset;IPCategory;Mitre;Alert
Jun-07 2022 @ 19:16:53.525;Critical;Internal;none;Negative
Jun-07 2022 @ 19:16:26.515;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:15:49.502;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:15:43.501;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:52.481;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:46.480;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:35.476;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:31.475;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:28.475;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:25.473;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:22.472;Critical;Internal;T1078;Negative
Jun-07 2022 @ 19:14:20.470;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:14:17.468;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:14:12.466;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:14:06.458;Critical;Internal;none;Negative
Jun-07 2022 @ 19:14:04.457;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:14:01.456;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:59.455;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:56.453;Critical;Internal;T1078;Negative
Jun-07 2022 @ 19:13:54.452;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:53.452;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:49.451;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:47.450;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:44.449;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:41.449;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:29.446;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:27.445;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:25.444;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:23.444;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:21.443;Critical;Unknown;T1064;Positive
Jun-07 2022 @ 19:13:18.442;Critical;Internal;none;Negative
Jun-07 2022 @ 19:13:16.441;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:13.440;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:11.439;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:08.438;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:06.437;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:05.436;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:13:02.436;Critical;Internal;T1078;Negative
Jun-07 2022 @ 19:12:59.432;Critical;Internal;T1064;Negative
Jun-07 2022 @ 19:12:51.429;Critical;Internal;T1064;Negative
Jun-07 2022 @ 19:11:32.406;Critical;Internal;T1064;Negative
Jun-07 2022 @ 19:11:29.405;Critical;Internal;T1064;Negative
Jun-07 2022 @ 19:11:17.401;Critical;Internal;T1064;Negative
Jun-07 2022 @ 19:10:42.391;Critical;Internal;none;Negative
Jun-07 2022 @ 19:02:11.203;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:02:09.202;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:01:58.199;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:01:55.198;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:01:50.196;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:01:20.178;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:01:14.176;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:01:10.175;Critical;Internal;T1087;Negative
Jun-07 2022 @ 19:00:52.171;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:45:34.807;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:31:32.479;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:31:30.478;Critical;Internal;T1078;Negative
Jun-07 2022 @ 18:31:26.477;Critical;Internal;none;Negative
Jun-07 2022 @ 18:30:03.431;Critical;Internal;T1078;Negative
Jun-07 2022 @ 18:29:14.418;Critical;Internal;T1075;Negative
Jun-07 2022 @ 18:28:46.408;Critical;Internal;none;Negative
Jun-07 2022 @ 18:28:17.395;Critical;Internal;T1078;Negative
Jun-07 2022 @ 18:27:54.387;Critical;Internal;T1075;Negative
Jun-07 2022 @ 18:27:29.361;Critical;Internal;none;Negative
Jun-07 2022 @ 18:26:53.345;Critical;Internal;T1078;Negative
Jun-07 2022 @ 18:26:18.329;Critical;Internal;T1075;Negative
Jun-07 2022 @ 18:24:55.292;Critical;Internal;none;Negative
Jun-07 2022 @ 18:22:50.243;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:16:31.101;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:16:31.101;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:16:30.101;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:16:30.101;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:12:57.995;Critical;Internal;T1087;Negative
Jun-07 2022 @ 18:12:17.983;Critical;Internal;T1078;Negative
Jun-07 2022 @ 18:11:55.974;Critical;Internal;T1110;Negative
Jun-07 2022 @ 18:11:55.974;Critical;Internal;T1110;Negative
Jun-07 2022 @ 18:11:55.974;Critical;Internal;T1110;Negative
Jun-07 2022 @ 18:11:54.973;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:54.973;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:54.973;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:54.973;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:54.973;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:24.955;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:03.947;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:03.947;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:03.947;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:03.947;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:02.947;Critical;External;T1064;Positive
Jun-07 2022 @ 18:11:02.947;Critical;External;T1110;Positive
Jun-07 2022 @ 18:11:01.947;Critical;External;T1110;Positive
Jun-07 2022 @ 18:10:33.936;Critical;External;T1110;Positive
Jun-07 2022 @ 18:10:17.930;Critical;External;T1078;Positive
Jun-07 2022 @ 18:04:06.711;Critical;External;T1087;Positive
Jun-07 2022 @ 18:00:55.610;Critical;External;T1087;Positive
Jun-07 2022 @ 18:00:51.608;Critical;External;T1087;Positive
Jun-07 2022 @ 18:00:51.608;Critical;External;T1087;Positive
Jun-07 2022 @ 18:00:51.608;Critical;External;T1087;Positive
Jun-07 2022 @ 17:57:47.548;Critical;External;T1087;Positive
Jun-07 2022 @ 17:57:39.545;Critical;External;T1087;Positive
Jun-07 2022 @ 17:54:54.483;Critical;External;T1087;Positive
Jun-07 2022 @ 17:45:45.938;Critical;External;T1078;Positive
Jun-07 2022 @ 17:45:23.929;Critical;External;T1075;Positive
Jun-07 2022 @ 17:45:15.927;Critical;External;T1078;Positive
Jun-07 2022 @ 17:45:14.926;Critical;External;T1087;Positive
Jun-07 2022 @ 17:44:34.912;Critical;External;T1078;Positive
Jun-07 2022 @ 17:44:09.902;Critical;External;T1075;Positive
Jun-07 2022 @ 17:43:53.897;Critical;External;T1078;Positive
Jun-07 2022 @ 17:43:23.887;Critical;External;T1078;Positive
Jun-07 2022 @ 17:42:17.861;Critical;External;T1075;Positive
Jun-07 2022 @ 17:42:07.856;Critical;External;T1078;Positive
Jun-07 2022 @ 17:41:57.852;Critical;External;T1078;Positive
Jun-07 2022 @ 17:41:42.844;Critical;External;T1075;Positive
Jun-07 2022 @ 17:41:33.837;Critical;External;T1078;Negative
Jun-07 2022 @ 17:41:33.837;Critical;External;T1087;Positive
Jun-07 2022 @ 17:41:33.837;Critical;External;T1078;Negative
Jun-07 2022 @ 17:41:32.837;Critical;External;T1110;Positive
Jun-07 2022 @ 17:41:32.837;Critical;External;T1110;Positive
Jun-07 2022 @ 17:41:31.836;Critical;External;T1110;Positive
Jun-07 2022 @ 17:41:31.836;Critical;External;T1075;Negative
Jun-07 2022 @ 17:41:31.836;Critical;External;T1064;Negative
Jun-07 2022 @ 17:41:23.831;Critical;Internal;none;Positive
Jun-07 2022 @ 17:41:18.830;Critical;Internal;T1087;Positive
Jun-07 2022 @ 17:40:42.817;Critical;Internal;T1087;Positive
Jun-07 2022 @ 17:40:42.817;Critical;Internal;T1087;Positive
Jun-07 2022 @ 17:40:42.817;Critical;Internal;T1087;Positive
Jun-07 2022 @ 17:40:41.816;Critical;Internal;T1087;Positive
Jun-07 2022 @ 17:40:41.816;Critical;External;T1078;Positive
Jun-07 2022 @ 17:40:41.816;Critical;External;T1078;Positive
Jun-07 2022 @ 17:40:39.816;Critical;External;T1075;Positive
Jun-07 2022 @ 17:40:36.814;Critical;External;T1078;Positive
Jun-07 2022 @ 17:40:31.811;Critical;External;T1078;Positive
Jun-07 2022 @ 17:40:25.804;Critical;External;T1075;Positive
Jun-07 2022 @ 17:40:12.798;Critical;Internal;T1087;Positive
Jun-07 2022 @ 17:40:08.797;Critical;Internal;T1078;Positive
Jun-07 2022 @ 17:40:08.797;Critical;Internal;T1110;Positive
Jun-07 2022 @ 17:40:08.797;Critical;Internal;T1110;Positive
Jun-07 2022 @ 17:39:40.785;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:39:21.780;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:39:17.779;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:39:11.777;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:37:56.735;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:37:54.734;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:32:07.607;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:31:50.603;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:31:47.602;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:29:15.128;Critical;Internal;T1064;Positive
Jun-07 2022 @ 17:29:15.128;Critical;Unknown;none;Negative
Jun-07 2022 @ 17:26:18.011;Critical;Unknown;T1087;Negative
Jun-07 2022 @ 17:25:32.993;Critical;Unknown;T1078;Negative
Jun-07 2022 @ 17:25:32.993;Critical;Unknown;T1110;Negative
Jun-07 2022 @ 17:24:43.980;Critical;Unknown;T1075;Positive
Jun-07 2022 @ 17:23:43.960;Critical;Unknown;T1064;Negative
Jun-07 2022 @ 17:23:24.953;Critical;Unknown;none;Positive
Jun-07 2022 @ 17:22:12.921;Critical;Unknown;T1087;Positive
Jun-07 2022 @ 17:21:35.902;Critical;Unknown;T1078;Positive
Jun-07 2022 @ 17:21:35.902;Critical;Unknown;T1110;Positive
Jun-07 2022 @ 17:21:35.902;Critical;Unknown;T1110;Positive
Jun-07 2022 @ 17:21:35.902;Critical;Unknown;T1110;Positive
